Name,Dim,Time
ddot,3240000,28640
ddot,3240000,26842
ddot,3240000,28154
ddot,3240000,23910
ddot,3240000,24742
dgemv,1800,18566
dgemv,1800,18508
dgemv,1800,19703
dgemv,1800,18756
dgemv,1800,18789
dgemv,1800,20094
dgemv,1800,18542
dgemv,1800,18215
dgemv,1800,18897
ddot,3610000,31062
ddot,3610000,32785
ddot,3610000,37320
ddot,3610000,34438
ddot,3610000,36864
ddot,3610000,31877
ddot,3610000,32844
ddot,3610000,34140
ddot,3610000,36692
dgemv,1900,23738
dgemv,1900,25064
dgemv,1900,24147
dgemv,1900,23519
dgemv,1900,24406
dgemv,1900,22136
dgemv,1900,23600
dgemv,1900,24967
dgemv,1900,22796
ddot,4000000,28547
ddot,4000000,29537
ddot,4000000,30309
ddot,4000000,28897
ddot,4000000,30283
ddot,4000000,28611
ddot,4000000,28266
ddot,4000000,29016
ddot,4000000,30265
dgemv,2000,21838
dgemv,2000,21529
dgemv,2000,22987
dgemv,2000,23124
dgemv,2000,22928
dgemv,2000,22230
dgemv,2000,22127
dgemv,2000,21508
dgemv,2000,23029
ddot,4410000,32061
ddot,4410000,35267
ddot,4410000,40583
ddot,4410000,36184
ddot,4410000,36512
ddot,4410000,36978
ddot,4410000,32949
ddot,4410000,35376
ddot,4410000,39302
dgemv,2100,24792
dgemv,2100,25434
dgemv,2100,26224
dgemv,2100,26074
dgemv,2100,27396
dgemv,2100,24281
dgemv,2100,25409
dgemv,2100,26842
dgemv,2100,25656
ddot,4840000,46997
ddot,4840000,43523
ddot,4840000,48194
ddot,4840000,48939
ddot,4840000,46930
ddot,4840000,44030
ddot,4840000,43715
ddot,4840000,49912
ddot,4840000,46591
dgemv,2200,33895
dgemv,2200,30357
dgemv,2200,32335
dgemv,2200,31660
dgemv,2200,34317
dgemv,2200,30691
dgemv,2200,31804
dgemv,2200,32061
dgemv,2200,32578
ddot,5290000,39329
ddot,5290000,41927
ddot,5290000,37518
ddot,5290000,38281
ddot,5290000,38758
ddot,5290000,40692
ddot,5290000,39030
ddot,5290000,36684
ddot,5290000,37235
dgemv,2300,30095
dgemv,2300,29295
dgemv,2300,28878
dgemv,2300,28792
dgemv,2300,29931
dgemv,2300,29796
dgemv,2300,29475
dgemv,2300,29054
dgemv,2300,29784
ddot,5760000,45617
ddot,5760000,41358
ddot,5760000,42911
ddot,5760000,44230
ddot,5760000,43471
ddot,5760000,41974
ddot,5760000,41826
ddot,5760000,42786
ddot,5760000,45540
dgemv,2400,31291
dgemv,2400,31379
dgemv,2400,31691
dgemv,2400,32743
dgemv,2400,32372
dgemv,2400,31663
dgemv,2400,31251
dgemv,2400,32449
dgemv,2400,33153
ddot,6250000,47233
ddot,6250000,48775
ddot,6250000,50003
ddot,6250000,47535
ddot,6250000,47168
ddot,6250000,51237
ddot,6250000,48456
ddot,6250000,46058
ddot,6250000,48131
dgemv,2500,35269
dgemv,2500,36040
dgemv,2500,33974
dgemv,2500,34369
dgemv,2500,35130
dgemv,2500,35353
dgemv,2500,34703
dgemv,2500,34607
dgemv,2500,35552
ddot,6760000,62588
ddot,6760000,67211
ddot,6760000,52009
ddot,6760000,61535
ddot,6760000,57643
ddot,6760000,54147
ddot,6760000,55047
ddot,6760000,58412
ddot,6760000,61215
dgemv,2600,42826
dgemv,2600,38493
dgemv,2600,38514
dgemv,2600,39195
dgemv,2600,40589
dgemv,2600,37420
dgemv,2600,40138
dgemv,2600,42053
dgemv,2600,38950
ddot,7290000,69009
ddot,7290000,63264
ddot,7290000,72383
ddot,7290000,71687
ddot,7290000,65530
ddot,7290000,71737
ddot,7290000,74153
ddot,7290000,66332
ddot,7290000,70273
dgemv,2700,49934
dgemv,2700,47863
dgemv,2700,48792
dgemv,2700,53915
dgemv,2700,50207
dgemv,2700,48402
dgemv,2700,47515
