Name,Size,Time
ddot,3240000,21863
ddot,3240000,21902
ddot,3240000,21870
ddot,3240000,21863
ddot,3240000,21917
ddot,3240000,21876
dgemv,1800,17489
dgemv,1800,17361
dgemv,1800,17358
dgemv,1800,17379
dgemv,1800,17387
dgemv,1800,17368
dgemv,1800,17367
dgemv,1800,17385
dgemv,1800,17362
ddot,3610000,24961
ddot,3610000,24720
ddot,3610000,24759
ddot,3610000,24703
ddot,3610000,24704
ddot,3610000,24769
ddot,3610000,24714
ddot,3610000,24711
ddot,3610000,24771
dgemv,1900,19266
dgemv,1900,19242
dgemv,1900,19252
dgemv,1900,19235
dgemv,1900,19236
dgemv,1900,19238
dgemv,1900,19236
dgemv,1900,19243
dgemv,1900,19242
ddot,4000000,27959
ddot,4000000,27701
ddot,4000000,27750
ddot,4000000,27940
ddot,4000000,27699
ddot,4000000,27719
ddot,4000000,28078
ddot,4000000,27713
ddot,4000000,27768
dgemv,2000,21349
dgemv,2000,21319
dgemv,2000,21327
dgemv,2000,21357
dgemv,2000,21398
dgemv,2000,21387
dgemv,2000,21816
dgemv,2000,21380
dgemv,2000,21319
ddot,4410000,37478
ddot,4410000,36758
ddot,4410000,36331
ddot,4410000,36277
ddot,4410000,36360
ddot,4410000,36313
ddot,4410000,36485
ddot,4410000,36402
ddot,4410000,36395
dgemv,2100,27940
dgemv,2100,27437
dgemv,2100,27132
dgemv,2100,27200
dgemv,2100,27104
dgemv,2100,27189
dgemv,2100,26992
dgemv,2100,27194
dgemv,2100,27009
ddot,4840000,33526
ddot,4840000,33308
ddot,4840000,33290
ddot,4840000,33498
ddot,4840000,33161
ddot,4840000,33117
ddot,4840000,33078
ddot,4840000,33117
ddot,4840000,33081
dgemv,2200,26092
dgemv,2200,26025
dgemv,2200,26355
dgemv,2200,26070
dgemv,2200,25880
dgemv,2200,25881
dgemv,2200,25886
dgemv,2200,25931
dgemv,2200,25889
ddot,5290000,36017
ddot,5290000,35775
ddot,5290000,35744
ddot,5290000,35750
ddot,5290000,35739
ddot,5290000,35733
ddot,5290000,35738
ddot,5290000,35729
ddot,5290000,35740
dgemv,2300,28273
dgemv,2300,28314
dgemv,2300,28228
dgemv,2300,28292
dgemv,2300,28230
dgemv,2300,28290
dgemv,2300,28233
dgemv,2300,28324
dgemv,2300,28421
ddot,5760000,48294
ddot,5760000,47954
ddot,5760000,48065
ddot,5760000,47910
ddot,5760000,47995
ddot,5760000,48659
ddot,5760000,47940
ddot,5760000,49782
ddot,5760000,48073
dgemv,2400,35286
dgemv,2400,35198
dgemv,2400,35192
dgemv,2400,35268
dgemv,2400,35783
dgemv,2400,35184
dgemv,2400,35216
dgemv,2400,35281
dgemv,2400,35259
ddot,6250000,45373
ddot,6250000,45255
ddot,6250000,45274
ddot,6250000,45620
ddot,6250000,45605
ddot,6250000,45908
ddot,6250000,45689
ddot,6250000,45627
ddot,6250000,45659
dgemv,2500,33427
dgemv,2500,33387
dgemv,2500,33664
dgemv,2500,33627
dgemv,2500,33680
dgemv,2500,33618
dgemv,2500,33710
dgemv,2500,33688
dgemv,2500,33622
ddot,6760000,46434
ddot,6760000,46350
ddot,6760000,46054
ddot,6760000,46215
ddot,6760000,46059
ddot,6760000,46156
ddot,6760000,46104
ddot,6760000,46113
ddot,6760000,46134
dgemv,2600,35914
dgemv,2600,36191
dgemv,2600,35926
dgemv,2600,35949
dgemv,2600,36002
dgemv,2600,35921
dgemv,2600,35979
dgemv,2600,35923
dgemv,2600,35900
ddot,7290000,60140
ddot,7290000,60087
ddot,7290000,60122
ddot,7290000,60143
ddot,7290000,79543
ddot,7290000,79584
ddot,7290000,79397
ddot,7290000,79634
ddot,7290000,80123
dgemv,2700,44860
dgemv,2700,44920
dgemv,2700,44918
dgemv,2700,49380
dgemv,2700,53400
dgemv,2700,53272
dgemv,2700,53203
dgemv,2700,54358
dgemv,2700,53490
ddot,7840000,53237
ddot,7840000,52978
ddot,7840000,53045
ddot,7840000,53278
ddot,7840000,52996
ddot,7840000,53026
ddot,7840000,53092
ddot,7840000,53034
ddot,7840000,53094
dgemv,2800,42000
dgemv,2800,41893
dgemv,2800,41904
dgemv,2800,41993
dgemv,2800,41974
dgemv,2800,41933
dgemv,2800,41962
dgemv,2800,41991
dgemv,2800,41958
ddot,8410000,57375
ddot,8410000,57560
ddot,8410000,57603
ddot,8410000,57586
ddot,8410000,57654
ddot,8410000,57639
ddot,8410000,57621
ddot,8410000,57601
ddot,8410000,57588
dgemv,2900,44992
dgemv,2900,45240
dgemv,2900,45368
dgemv,2900,45233
dgemv,2900,45237
dgemv,2900,45237
dgemv,2900,45273
dgemv,2900,45284
dgemv,2900,45424
ddot,9000000,60663
ddot,9000000,60430
ddot,9000000,60469
ddot,9000000,60468
ddot,9000000,60421
ddot,9000000,60584
ddot,9000000,60637
ddot,9000000,60505
ddot,9000000,60624
dgemv,3000,47782
dgemv,3000,47723
dgemv,3000,47718
dgemv,3000,47811
dgemv,3000,47969
dgemv,3000,48446
dgemv,3000,47726
dgemv,3000,47734
dgemv,3000,47701
ddot,9610000,105395
ddot,9610000,104794
ddot,9610000,105227
ddot,9610000,91845
ddot,9610000,79351
ddot,9610000,79906
ddot,9610000,79387
ddot,9610000,79345
ddot,9610000,79234
dgemv,3100,70066
dgemv,3100,69960
dgemv,3100,70052
dgemv,3100,58955
dgemv,3100,58942
dgemv,3100,59312
dgemv,3100,59027
dgemv,3100,59194
dgemv,3100,59128
ddot,10240000,70003
ddot,10240000,69793
ddot,10240000,69834
ddot,10240000,70505
ddot,10240000,70514
ddot,10240000,70560
ddot,10240000,70505
ddot,10240000,71347
ddot,10240000,70407
dgemv,3200,54759
dgemv,3200,54760
dgemv,3200,55111
dgemv,3200,55122
dgemv,3200,55110
dgemv,3200,55116
dgemv,3200,55303
dgemv,3200,55082
dgemv,3200,55153
ddot,10890000,74287
ddot,10890000,74026
ddot,10890000,74025
ddot,10890000,74035
ddot,10890000,74504
ddot,10890000,74108
ddot,10890000,74077
ddot,10890000,74077
ddot,10890000,74317
dgemv,3300,57848
dgemv,3300,57822
dgemv,3300,57820
dgemv,3300,57823
dgemv,3300,58033
dgemv,3300,57834
dgemv,3300,57841
dgemv,3300,57816
dgemv,3300,58111
ddot,11560000,107422
ddot,11560000,95083
ddot,11560000,95275
ddot,11560000,95035
ddot,11560000,95299
ddot,11560000,95177
ddot,11560000,105209
ddot,11560000,95037
ddot,11560000,95007
dgemv,3400,71118
dgemv,3400,71024
dgemv,3400,71059
dgemv,3400,71113
dgemv,3400,70995
dgemv,3400,71254
dgemv,3400,75731
dgemv,3400,71085
dgemv,3400,71268
ddot,12250000,85286
ddot,12250000,85024
ddot,12250000,84529
ddot,12250000,84263
ddot,12250000,84285
ddot,12250000,84570
ddot,12250000,84190
ddot,12250000,84180
ddot,12250000,84182
dgemv,3500,65925
dgemv,3500,65898
dgemv,3500,65452
dgemv,3500,65482
dgemv,3500,65456
dgemv,3500,65560
dgemv,3500,65501
dgemv,3500,65498
dgemv,3500,65499
ddot,12960000,88767
ddot,12960000,88626
ddot,12960000,88524
ddot,12960000,89328
ddot,12960000,88687
ddot,12960000,88118
ddot,12960000,88103
ddot,12960000,88387
ddot,12960000,88064
dgemv,3600,69071
dgemv,3600,69140
dgemv,3600,69057
dgemv,3600,69155
dgemv,3600,68727
dgemv,3600,68712
dgemv,3600,68732
dgemv,3600,68773
dgemv,3600,68807
ddot,13690000,144909
ddot,13690000,151529
ddot,13690000,150063
ddot,13690000,149730
ddot,13690000,122239
ddot,13690000,112751
ddot,13690000,112666
ddot,13690000,116027
ddot,13690000,113113
dgemv,3700,99948
dgemv,3700,100118
dgemv,3700,100078
dgemv,3700,100005
dgemv,3700,83895
dgemv,3700,84195
dgemv,3700,85341
dgemv,3700,84182
dgemv,3700,83938
ddot,14440000,99027
ddot,14440000,98791
ddot,14440000,98712
ddot,14440000,98584
ddot,14440000,97682
ddot,14440000,97608
ddot,14440000,97603
ddot,14440000,98063
ddot,14440000,97620
dgemv,3800,77812
dgemv,3800,77726
dgemv,3800,77780
dgemv,3800,77716
dgemv,3800,77197
dgemv,3800,77165
dgemv,3800,77157
dgemv,3800,77115
dgemv,3800,77306
