"time","prey","predator","parametres","experiment"
0.0,1.0,1.0,"A=1, B=1, C=1, D=2","exp4"
0.056248185783287864,0.998390160931276,1.0577965852277535,"A=1, B=1, C=1, D=2","exp4"
0.12115617899809009,0.9924041800414786,1.128114054746607,"A=1, B=1, C=1, D=2","exp4"
0.20726515687541439,0.9774033591652381,1.2265100823086679,"A=1, B=1, C=1, D=2","exp4"
0.30666699784753854,0.9500530174598245,1.3451951365264803,"A=1, B=1, C=1, D=2","exp4"
0.4243629980257869,0.9045898391815934,1.4879346176713941,"A=1, B=1, C=1, D=2","exp4"
0.5589970520279124,0.8380549434592038,1.6448906345083742,"A=1, B=1, C=1, D=2","exp4"
0.7186124255716948,0.7460614063774544,1.8060964660792638,"A=1, B=1, C=1, D=2","exp4"
0.8905640938243842,0.6420366967334419,1.9307041542347068,"A=1, B=1, C=1, D=2","exp4"
1.058528163989834,0.5458301792348522,1.992075543791686,"A=1, B=1, C=1, D=2","exp4"
1.236004029433993,0.4572821666114555,1.9922586322288682,"A=1, B=1, C=1, D=2","exp4"
1.4217682610000246,0.38210672109330934,1.9326124540940341,"A=1, B=1, C=1, D=2","exp4"
1.6276589999045314,0.31893343079784986,1.8160061409698565,"A=1, B=1, C=1, D=2","exp4"
1.8670895218907986,0.2676715737108325,1.6434830939013234,"A=1, B=1, C=1, D=2","exp4"
2.1158848104281995,0.23359747941784986,1.4506971032530405,"A=1, B=1, C=1, D=2","exp4"
2.3700682976074487,0.21348547167655518,1.2598154656139338,"A=1, B=1, C=1, D=2","exp4"
2.6368617275312487,0.20417801791381615,1.078027851231232,"A=1, B=1, C=1, D=2","exp4"
2.920466075934176,0.20462438785462853,0.9112040925835497,"A=1, B=1, C=1, D=2","exp4"
3.226139123056473,0.21525111408387146,0.7627493668030938,"A=1, B=1, C=1, D=2","exp4"
3.560820208449996,0.23830518038729012,0.6348447598132387,"A=1, B=1, C=1, D=2","exp4"
3.9296219597829927,0.2782495592990456,0.5306541060132215,"A=1, B=1, C=1, D=2","exp4"
4.338835073042858,0.34295307358235577,0.4537508318492628,"A=1, B=1, C=1, D=2","exp4"
4.740718711877546,0.4310915692171258,0.4136493987217535,"A=1, B=1, C=1, D=2","exp4"
5.1247814648776755,0.5410954043868523,0.4085956919685874,"A=1, B=1, C=1, D=2","exp4"
5.484275558308881,0.6663518610557098,0.4397417665268551,"A=1, B=1, C=1, D=2","exp4"
5.823219904444867,0.7967922525241006,0.5143612872924739,"A=1, B=1, C=1, D=2","exp4"
6.148540016196645,0.914820868787175,0.649100734862688,"A=1, B=1, C=1, D=2","exp4"
6.483475419987095,0.9924764560281178,0.8829463772123614,"A=1, B=1, C=1, D=2","exp4"
6.776172482838139,0.9852594206869592,1.1803997038226843,"A=1, B=1, C=1, D=2","exp4"
7.031076625886788,0.9053772295095331,1.4854321334690033,"A=1, B=1, C=1, D=2","exp4"
7.286700329606029,0.7702555834876017,1.768406808516467,"A=1, B=1, C=1, D=2","exp4"
7.563334379532356,0.6042499773429983,1.9612012016811953,"A=1, B=1, C=1, D=2","exp4"
7.793821561986244,0.481076860331651,1.9983799617676516,"A=1, B=1, C=1, D=2","exp4"
8.031681707204946,0.3817167733843474,1.9319413357518709,"A=1, B=1, C=1, D=2","exp4"
8.275706875884074,0.30905920889317745,1.7895350021993057,"A=1, B=1, C=1, D=2","exp4"
8.559579931902935,0.2543470141557641,1.5788796052542626,"A=1, B=1, C=1, D=2","exp4"
8.834358440886922,0.223387884490163,1.3666810995824616,"A=1, B=1, C=1, D=2","exp4"
9.116623932267167,0.20739656761435604,1.1630863137012515,"A=1, B=1, C=1, D=2","exp4"
9.408302774011444,0.2032881026342625,0.9788736754116494,"A=1, B=1, C=1, D=2","exp4"
9.718662814587418,0.21005914165229167,0.8154817047644967,"A=1, B=1, C=1, D=2","exp4"
10.053291363855983,0.22895877624562047,0.6754648152060214,"A=1, B=1, C=1, D=2","exp4"
10.419724778178225,0.2636626740134733,0.5603497767217828,"A=1, B=1, C=1, D=2","exp4"
10.823638339830973,0.32090562622599744,0.4731170487815928,"A=1, B=1, C=1, D=2","exp4"
11.241798439716735,0.40489825483738817,0.42108088055183457,"A=1, B=1, C=1, D=2","exp4"
11.63316608932017,0.509873655605832,0.40657674503049357,"A=1, B=1, C=1, D=2","exp4"
12.004457900155092,0.6337729189937356,0.42827858334994023,"A=1, B=1, C=1, D=2","exp4"
12.3501328901868,0.7650017521885537,0.49132745357392016,"A=1, B=1, C=1, D=2","exp4"
12.67999684561606,0.8889417166030156,0.6100844572480604,"A=1, B=1, C=1, D=2","exp4"
13.012150048374998,0.9805098098341883,0.8168292602759173,"A=1, B=1, C=1, D=2","exp4"
13.294577922137906,0.9967884055332331,1.080164607800064,"A=1, B=1, C=1, D=2","exp4"
13.543033241629091,0.9434672229079267,1.3681570859454844,"A=1, B=1, C=1, D=2","exp4"
13.784609147289055,0.8334482126194052,1.6537917378295142,"A=1, B=1, C=1, D=2","exp4"
14.03667778113987,0.6849553661060618,1.885910131063314,"A=1, B=1, C=1, D=2","exp4"
14.279483123286816,0.5438987061128565,1.9923722297589697,"A=1, B=1, C=1, D=2","exp4"
14.504712929170651,0.4347302288914306,1.980907783217502,"A=1, B=1, C=1, D=2","exp4"
14.736780726016022,0.34973478653416207,1.8822670621072743,"A=1, B=1, C=1, D=2","exp4"
14.988771096277842,0.285724037506582,1.7151673181860128,"A=1, B=1, C=1, D=2","exp4"
15.279903565040572,0.23961145415062035,1.4919682925338449,"A=1, B=1, C=1, D=2","exp4"
